POI_name,Average_Rating,Destination_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,Review_Sentiment,Trip_type
Montana Avenue,4.5,Santa Monica,320,Points of Interest & Landmarks,"A great place to celebrity watch, this 10-block stretch is an eclectic mix of chic, upscale shops ranging from furniture to fashions and interspersed with cafes, coffee shops and restaurants.",4.5,"Montana Avenue Montana Ave. and 12th Street, Santa Monica, CA 90401",,,Positive,Historic
Monterey Bay,4.5,Monterey,2791,Bodies of Water,,4.5,"Monterey, CA",,,Positive,Relaxed
Monterey Bay Aquarium,4.5,Monterey,14119,Aquarium,"Located at the ocean's edge, the Monterey Bay Aquarium is a window to marine life -- for dive masters and non-swimmers alike. It's home to sea otters, penguins, sharks, jellies and thousands of other marine animals and plants. Its mission is to...",4.5,"886 Cannery Row, Monterey, CA 93940-1085",Suggested Duration:More than 3 hours,,Positive,Relaxed
Monterey County Fair & Event Center,4.5,Monterey,19,Conference & Convention Centers,,4.5,"2004 Fairground Rd, Monterey, CA 93940-5260",,,Positive,Activities
Monterey County Youth Museum,4.5,Monterey,38,Specialty Museums,"Now open at 425 Washington Street, located in Downtown Monterey, conveniently by the Monterey Sports Center and Dennis the Menace Park, the Monterey County Youth Museum provides an environment unique to any other in Monterey County. This 8,500...",4.5,"425 Washington St, Monterey, CA 93940-3023",,,Positive,Historic
Monterey Jazz Festival,4.5,Monterey,16,Music Festivals,"Sustaining a resonate note since its inception in 1958, the Monterey Jazz Festival is the longest running jazz festival on earth, bringing hundreds of top rated jazz, blues and rock musicians – not to mention tens of thousands of their fans – to...",4.5,"2000 Fairground Rd Monterey County Fairgrounds, Monterey, CA 93940-7105",,,Positive,Activities
Monterey Municipal Wharf 2,4.5,Monterey,47,Piers & Boardwalks,,4.5,"Figueroa St, Monterey, CA 93940",,,Positive,Adventurous
Monterey Museum of Art,4.5,Monterey,114,Art Museums,"The Monterey Museum of Art expands a passion for the visual arts and inspires appreciation of California art—past, present, and future. At MMA Pacific Street, 559 Pacific Street, Monterey, CA 93940, masterpieces of early California painting and...",4.5,"559 Pacific St, Monterey, CA 93940-2805",Suggested Duration:2-3 hours,"Hours
Thu - Tue
11:00 AM - 5:00 PM",Positive,Historic
Monterey Peninsula Recreational Trail,5.0,Monterey,799,Biking Trails,Popular hiking trail running along the Pacific Grove and Monterey coast.,5.0,"Monterey, CA",,,Positive,Adventurous
Monterey State Historic Park,4.0,Monterey,164,State Parks,A state park in Monterey that operates tours of its gardens and historic buildings dating back to the 17th century.,4.0,"20 Custom House Plz, Monterey, CA 93940-2430",,,Positive,Relaxed
Monterey Visitor Center,4.5,Monterey,100,Visitor Centers,,4.5,"401 Camino El Estero, Monterey, CA 93940-3059",,,Positive,Activities
Monticello Vineyards,4.5,Napa,48,Wineries & Vineyards,"Relationships are the bonds that unite us. We value authentic and reliable relationships among ourselves, our customers, and in our community. We are very proud to be a family owned and managed winery. Our dad, Jay Corley, came to Napa Valley in...",4.5,"4242 Big Ranch Rd, Napa, CA 94558-1396",Suggested Duration:1-2 hours,,Positive,Relaxed
Moorten Botanical Garden,4.0,Palm Springs,500,Gardens,Visitors are fascinated by this huge collection of cacti and flowers amid scenic nature trails.,4.0,"1701 S Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92264-8936",,"Hours
Sun - Sat
10:00 AM - 4:00 PM",Positive,Relaxed
Moreton Bay Fig Tree,4.0,Santa Barbara,355,Points of Interest & Landmarks,,4.0,"Montecito and Chapala Streets, Santa Barbara, CA",,,Positive,Historic
Morgan-Wixson Theatre,5.0,Santa Monica,4,Theaters,"Santa Monica’s Morgan-Wixson Theatre is the oldest theatrical organization in the city, founded in 1946. We produce two full seasons of a wide variety of plays and musicals for adults and youth. Our performers, creative staff, and crew for all our...",5.0,"2627 Pico Blvd, Santa Monica, CA 90405-1915",Suggested Duration:2-3 hours,,Positive,Activities
Mt. Olive Lutheran Church,5.0,Santa Monica,3,Churches,,5.0,"14th Street, Santa Monica, CA",,,Positive,Historic
Mt. Ralston Peak Trail,4.0,Lake Tahoe,11,Hiking Trails,,4.0,"Highway 50, South Lake Tahoe, CA",,,Positive,Adventurous
Mt. Soledad National Veterans Memorial,4.5,San Diego,2448,Historic Sites,,4.5,"6905 La Jolla Scenic Drive South, La Jolla, San Diego, CA 92037",,,Positive,Historic
Mt. Tallac Trail,4.5,Lake Tahoe,238,Hiking Trails,,4.5,"Mt Tallac Road B trail head, South Lake Tahoe, CA",,,Positive,Adventurous
Murray Canyon Trail,4.5,Palm Springs,91,Hiking Trails,"Located in the Indian Canyons, this trail passes some uniquely amazing desert vegetation, such as the yellow creosote flowers.",4.5,"Palm Springs, Greater Palm Springs, CA 92264",,"Hours
Sun - Sat
8:00 AM - 5:00 PM",Positive,Adventurous
Musee Mecanique,4.5,San Francisco,2870,Specialty Museums,This superb collection of mechanical games and toys will entice people of all ages.,4.5,"Pier 45, Fishermen's Wharf foot of Taylor Street, San Francisco, CA 94133",Suggested Duration:1-2 hours,"Hours
Mon - Fri
10:00 AM - 7:00 PM
Sat - Sun
10:00 AM - 8:00 PM",Positive,Historic
Museum of Flying,4.25,Santa Monica,73,"Speciality Museums, Children's Museums","Originally established in 1974 as the Douglas Museum and Library, the Museum first opened in 1979 at 3200 Airport Avenue. The Museum was founded by Donald Douglas Jr, the second President of the Douglas Aircraft Company. Construction began on the...",4.5,"3100 Airport Ave., Santa Monica, CA 90405-6113",,"Hours
Wed - Sun
10:00 AM - 5:00 PM",Positive,Historic
Museum of Monterey,4.5,Monterey,59,Specialty Museums,,4.5,"5 Custom House Plz Monterey State Historic Park, Monterey, CA 93940-2430",,,Positive,Historic
Napa Cellars,4.5,Napa,82,Wineries & Vineyards,"We are located in the heart & soul of the Napa Valley surrounded by picturesque Oakville vineyards and coastal mountains no matter which direction you look. Our tasting room is down to earth and laid back, so much so that it's not unusual to find...",4.5,"7481 Saint Helena Hwy, Napa, CA 94562",Suggested Duration:1-2 hours,"Hours
Thu - Mon
10:00 AM - 5:00 PM",Positive,Relaxed
Napa Premium Outlets,3.5,Napa,154,Factory Outlets,"Napa Premium Outlets features an impressive collection of the finest brands for you, your family and your home. You're sure to find impressive savings of 25% to 65% all year round. Include a shopping stop during your next trip to the Bay area.",3.5,"629 Factory Stores Dr, Napa, CA 94558-5630",Suggested Duration:2-3 hours,"Hours
Sun
10:00 AM - 7:00 PM
Mon - Sat
10:00 AM - 9:00 PM",Positive,Activities
Napa Valley Distillery,4.5,Napa,72,Distilleries,,4.5,"610 1st St Ste 8, Napa, CA 94559-2603",,,Positive,Activities
Napa Valley Welcome Center,4.5,Napa,214,Visitor Centers,"The Napa Valley Welcome Center's brand-new location sits at 1300 1st Street, Suite 313 in the heart of downtown Napa. Serving the entire Napa County region, the new 2,550 square-foot space provides a more immersive experience and amenities that...",4.5,"600 Main St, Napa, CA 94559-3317",Suggested Duration:< 1 hour,"Hours
Sun - Mon
10:00 AM - 3:00 PM
Thu - Sat
10:00 AM - 7:00 PM",Positive,Activities
Natural History Museum of Los Angeles County,4.5,Los Angeles,1319,Natural History Museums,"Discover your world past and present. See dinosaurs in our new Dinosaur Hall, including the world’s only Tyrannosaurus rex growth series. Get the behind- the- scenes look at how scientists work on fossils at our Dino Lab. See 240 specimens,...",4.5,"900 Exposition Blvd Exposition Park, Los Angeles, CA 90007-4057",Suggested Duration:More than 3 hours,,Positive,Historic
North Lykken Trail,4.5,Palm Springs,54,Hiking Trails,,4.5,"Ramon Road Belardo Rd. & Ramon Rd., Palm Springs, Greater Palm Springs, CA 92262",,,Positive,Adventurous
O'Brien Estate Winery,5.0,Napa,672,Wineries & Vineyards,We are by appointment only. Please go to our website to inquire about our experiences. We do not take phone reservations. The cost is $55.00 per person. We regretfully are not permitted to have anyone under 21 years of age nor allow any pets on...,5.0,"1200 Orchard Ave, Napa, CA 94558-9401",Suggested Duration:1-2 hours,"Hours
Sun - Sat
10:00 AM - 3:30 PM",Positive,Relaxed
OUE Skyspace LA,4.0,Los Angeles,709,Observation Decks & Towers,"OUE Skyspace LA brings to life unparalleled, 360-degree views on California's tallest open-air observation deck, nearly 1,000 feet above Downtown Los Angeles. Experience the Skyslide, a 45-foot, fully enclosed, 1-1/4"" thick all glass adventure...",4.0,"633 W 5th St 2nd, 54th, 69th & 70th Floors, Los Angeles, CA 90071-2005",Suggested Duration:1-2 hours,,Positive,Relaxed
Ocean Avenue,4.0,Santa Monica,691,Historic Walking Areas,,4.0,"Ocean Ave., Santa Monica, CA 90401",,,Positive,Historic
Ocean Park Library,5.0,Santa Monica,6,Libraries,,5.0,"2601 Main St, Santa Monica, CA 90405-4001",,,Positive,Historic
Ocean Park Ranch,4.5,Santa Monica,6,Ranches,Private guided tours on horseback.,4.5,"2229 4th St, Santa Monica, CA 90405-2309",,,Positive,Adventurous
Ocean View Park,4.5,Santa Monica,20,Parks,,4.5,"2701 Barnard Way, Santa Monica, CA 90405-4070",,,Positive,Relaxed
Odette Estate Winery,4.5,Napa,39,Wineries & Vineyards,,4.5,"5998 Silverado Trl, Napa, CA 94558-9416",,,Positive,Relaxed
Old Fisherman's Wharf,4.0,Monterey,2713,Neighborhoods,Gift shops and stores fill this part of town.,4.0,"Monterey, CA",,,Positive,Relaxed
Old Mission Santa Barbara,4.5,Santa Barbara,2677,"Historic Sites, Points of Interest & Landmarks",Visitors can tour this historic Franciscan mission that features twin bell towers and lovely gardens.,4.5,"2201 Laguna St, Santa Barbara, CA 93105-3611",,,Positive,Historic
Old Monterey Farmer's Market,4.5,Monterey,61,Flea & Street Markets,,4.5,"Alvarado Street between Del Monte and Pearl, Monterey, CA",,"Hours
Tue
4:00 PM - 8:00 PM",Positive,Activities
Old Point Loma Lighthouse,4.5,San Diego,1423,Lighthouses,,4.5,"Point Loma, San Diego, CA",,,Positive,Relaxed
Old Town San Diego,4.5,San Diego,1752,Points of Interest & Landmarks,,4.5,"San Diego, CA",,,Positive,Historic
Old Town San Diego State Historic Park,4.5,San Diego,5643,State Parks,Historic site in downtown San Diego that recreates life in the Mexican and early American periods of 1821 to 1872.,4.5,"4002 Wallace St, San Diego, CA 92110",Suggested Duration:More than 3 hours,"Hours
Mon - Thu
10:00 AM - 4:00 PM
Fri - Sun
10:00 AM - 5:00 PM",Positive,Relaxed
Olvera Street,4.0,Los Angeles,1342,Points of Interest & Landmarks,"The oldest street in Los Angeles is fun to visit, especially during special events like the ""Blessing of the Animals"" or ""Dia De Los Muertos"" (Day of the Dead.)",4.0,"Main and Alameda streets 125 Paseo de la Plaza 90012, Los Angeles, CA 90012",Suggested Duration:1-2 hours,"Hours
Sun - Sat
10:00 AM - 7:00 PM",Positive,Historic
Oracle Park,4.5,San Francisco,7074,Arenas & Stadiums,Home of the San Francisco Giants Major League baseball team.,4.5,"24 Willie Mays Plaza, San Francisco, CA 94107-2134",,,Positive,Historic
Oreana Winery and Tasting Room,4.0,Santa Barbara,49,Wineries & Vineyards,,4.0,"205 Anacapa St, Santa Barbara, CA 93101-1805",,,Positive,Relaxed
PAINT:LAB,5.0,Santa Monica,6,Art Galleries,"At PAINT:LAB, we provide a space for people to express themselves and explore their creativity through the medium of paint. We are happy to provide a space for people to paint without the hassle of setting up a studio in their homes. Our staff...",5.0,"1453 14th St, Santa Monica, CA 90404-2790",Suggested Duration:1-2 hours,"Hours
Mon - Fri
10:00 AM - 7:00 PM
Sat - Sun
10:00 AM - 8:00 PM",Positive,Historic
Pacific Beach,4.5,San Diego,1273,Beaches,,4.5,"Grand Avenue, San Diego, CA",,,Positive,Relaxed
Pacific Crest Gallery,4.0,Lake Tahoe,14,Art Galleries,,4.0,"1001 Heavenly Village Way Suite 29, South Lake Tahoe, CA 96150-7068",,,Positive,Historic
Pacific House Museum,4.5,Monterey,28,History Museums,History museum showing what life was like in Old Monterey more than 150 years ago.,4.5,"Monterey State Historic Park 10 Custom House Plaza, Monterey, CA",,,Positive,Historic
Pacific Park,4.0,Santa Monica,1028,Amusement & Theme Parks,"Located on the world-famous Santa Monica Pier, Pacific Park® is the family place to play! Featuring 12 thrilling rides, including the West Coaster and Pacific Wheel, the world's first solar-powered Ferris wheel. Millions of visitors each year...",4.0,"380 Santa Monica Pier, Santa Monica, CA 90401-3128",Suggested Duration:2-3 hours,"Hours
Sun - Sat
11:00 AM - 9:00 PM",Positive,Adventurous
Painted Canyon,4.5,Palm Springs,224,Canyons,"A variety of colors paint the rocks here, giving this unique location its name.",4.5,"Palm Springs, Greater Palm Springs, CA",,,Positive,Relaxed
Palace of Fine Arts Theatre,4.5,San Francisco,4419,Theaters,"Designed to look like a Roman ruin, this golden building is certainly a beauty to behold.",4.5,"3301 Lyon Street, San Francisco, CA 94123-1002",,"Hours
Sun - Sat
6:00 AM - 9:00 PM",Positive,Activities
Palisades Park,4.5,Santa Monica,560,"Parks, Ocean Park","This lush, 25-acre park overlooking the Pacific is a wonderful place for walkers, bikers and people watchers, and connects with the broad Santa Monica beach made famous in TV's ""Baywatch"" episodes.",4.5,"Ocean Avenue, Santa Monica, CA 90401",,,Positive,Relaxed
Palm Canyon,4.0,Palm Springs,221,"Canyons, Deserts",,4.0,"Palm Springs, Greater Palm Springs, CA",,,Positive,Relaxed
Palm Canyon Drive,4.5,Palm Springs,685,Points of Interest & Landmarks,,4.5,"268 N Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92262-5510",,,Positive,Historic
Palm Canyon Trail,4.5,Palm Springs,46,Hiking Trails,"This moderate-to-strenuous hiking trail has an elevation gain of 1,165 feet.",4.5,"Palm Springs, Greater Palm Springs, CA",,,Positive,Adventurous
Palm Springs Aerial Tramway,4.5,Palm Springs,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",,,Positive,Relaxed
Palm Springs Air Museum,4.5,Palm Springs,2002,Specialty Museums,"Rated by CNN as one of the top 14 Air Museums in the World. This facility Gives visitors an up-close look at the legendary fighters and bombers of WWII, Korea, and Vietnam.",4.5,"745 N Gene Autry Trl, Palm Springs, Greater Palm Springs, CA 92262-5464",,"Hours
Sun - Sat
10:00 AM - 5:00 PM",Positive,Historic
Palm Springs Art Museum,4.5,Palm Springs,1690,Art Museums,"Located in downtown Palm Springs (with a branch location in Palm Desert, CA), the Palm Springs Art Museum offers compelling art exhibitions from national and international artists. The museum's extensive permanent collection includes significant...",4.5,"101 N Museum Dr, Palm Springs, Greater Palm Springs, CA 92262-5659",,,Positive,Historic
Palm Springs Art Museum Architecture and Design Center,4.0,Palm Springs,135,Speciality Museums,,4.0,"300 S Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92262-7302",,,Positive,Historic
Palm Springs Convention Center,4.5,Palm Springs,117,Conference & Convention Centers,"The Palm Springs Convention Center is a 261,000 square foot facility that includes up to 112,000 square feet of exhibit space, 19 total breakout rooms of various sizes, including a 20,000 square foot ballroom. The Renaissance Hotel is adjacent to...",4.5,"277 N Avenida Caballeros, Palm Springs, Greater Palm Springs, CA 92262-6440",,,Positive,Activities
Palm Springs Historical Society,4.0,Palm Springs,126,Points of Interest & Landmarks,,4.0,"221 S Palm Canyon Dr 92262, Palm Springs, Greater Palm Springs, CA 92262-6310",,,Positive,Historic
Palm Springs Museum Trail,4.0,Palm Springs,46,Hiking Trails,,4.0,"101 N Museum Dr, Palm Springs, Greater Palm Springs, CA 92262-5659",,,Positive,Adventurous
Palm Springs Open Air Market,4.0,Palm Springs,54,Flea & Street Markets,"This vibrant open air market showcases over 100 vendors displaying art, jewelry, apparel, prepared and packaged foods, produce, health and wellness items, home/garden accessories and so much more. Lots of parking, free admission and great...",4.0,"450 N Indian Canyon Drive, Palm Springs, Greater Palm Springs, CA 92262",,,Positive,Activities
Palm Springs Stadium,4.5,Palm Springs,16,Arenas & Stadiums,Palm Springs Stadium is the home of the Palm Springs POWER Baseball team and the California Winter League. The Palm Springs POWER Baseball Club recruits elite collegiate players from around the country to come to Palm Springs and play baseball in...,4.5,"1901 E Baristo Rd, Palm Springs, Greater Palm Springs, CA 92262-7119",,,Positive,Historic
Palm Springs Visitor Center,4.0,Palm Springs,440,Visitor Centers,"Housed in a landmark mid-century building, formerly a gas station, this is the official visitor center for the City of Palm Springs CA.",4.0,"2901 N Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92262-1864",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 5:00 PM",Positive,Activities
Palm Springs Walk of Stars,4.5,Palm Springs,285,Points of Interest & Landmarks,,4.5,"10 N. Palm Cayon Drive, Palm Springs, Greater Palm Springs, CA 92262",,,Positive,Historic
Palmaz Vineyards,5.0,Napa,147,Wineries & Vineyards,,5.0,"4029 Hagen Rd, Napa, CA 94558-3818",,,Positive,Relaxed
Pantages Theatre,4.5,Los Angeles,1048,Theaters,"Opened in 1930 by a vaudeville magnate, the interior of this famous theater is one of the most stunning examples of high ornate Art Deco architecture in Los Angeles. Groups of 10 or more can save on ticket prices and ticketmaster fees when they...",4.5,"6233 Hollywood Blvd, Los Angeles, CA 90028-5310",,,Positive,Activities
Paraduxx Winery,4.5,Napa,215,Wineries & Vineyards,"Since being founded in 1994, Paraduxx has earned acclaim as the only winery solely devoted to stylish Napa Valley blends. Visit the winery in Napa Valley, CA for an unforgettable wine country experience. **Please note: Due to the nature of our...",4.5,"7257 Silverado Trl, Napa, CA 94558-9430",Suggested Duration:1-2 hours,,Positive,Relaxed
Paseo Nuevo Shops & Restaurants,4.0,Santa Barbara,91,Movie Theaters,"We are open! The perfect place to shop, dine, and explore! SHOP & DINE Paseo Nuevo is your premier outdoor shopping destination and the heart of downtown Santa Barbara, offering 50+ national retailers, specialty shops, and restaurants. Shop...",4.0,"651 Paseo Nuevo, Santa Barbara, CA 93101-3391",Suggested Duration:More than 3 hours,"Hours
Sun - Sat
11:00 AM - 7:00 PM",Positive,Activities
Path of History,4.5,Monterey,69,Hiking Trails,Self-guided 2.7 mile walking tour around 46 historic buildings in downtown Monterey.,4.5,"Monterey, CA",,,Positive,Adventurous
Perry House,4.5,Monterey,15,Historic Sites,"Built in 1860 by Whaling Captain Manuel Perry, and lovingly restored in 2011 as a private special events venue for weddings and corporate events.",4.5,"201 Van Buren St, Monterey, CA 93940-2323",,,Positive,Historic
Petco Park,4.5,San Diego,4437,Sports Complexes,"Named the #1 Ballpark in America by USA Today in 2016! Petco Park is spectacular in every way, combining the best sight lines in baseball with breathtaking views of San Diego. Architecturally magnificent, it celebrates the sea, the sky, the...",4.5,"100 Park Blvd, San Diego, CA 92101-7405",,,Positive,Adventurous
Petersen Automotive Museum,4.5,Los Angeles,2341,Specialty Museums,"Rated the #1 Automotive museum in the world, the Petersen Automotive Museum is dedicated to the exploration and presentation of the automobile and its impact on Global life and culture. The museum features 25 galleries with more than 350 vehicles...",4.5,"6060 Wilshire Blvd, Los Angeles, CA 90036-3605",Suggested Duration:1-2 hours,"Hours
Wed - Sun
10:00 AM - 5:00 PM",Positive,Historic
Pier 39,4.0,San Francisco,22512,Points of Interest & Landmarks,"From amazing views and a sea of sea lions to chowder bread bowls and California wines, your visit to San Francisco starts at PIER 39. Kick off your visit by exploring two levels of dining, entertainment, shopping and attractions, all surrounded by...",4.0,"Beach Street & The Embarcadero Parking area, San Francisco, CA 94133",Suggested Duration:2-3 hours,"Hours
Sun - Sat
11:00 AM - 6:00 PM",Positive,Historic
Pierce Brothers Westwood Village Memorial Park,4.0,Los Angeles,449,Cemeteries,,4.0,"1218 Glendon Ave, Los Angeles, CA 90024-4914",,,Positive,Relaxed
Pierce Ranch Vineyards Tasting Room,4.5,Monterey,25,Wineries & Vineyards,,4.5,"499 Wave St, Monterey, CA 93940-1424",,,Positive,Relaxed
Pine Ridge Vineyards,4.5,Napa,374,Wineries & Vineyards,"Located in the heart of the iconic Stags Leap District, Pine Ridge Vineyards offers intimate cave tastings and stunning views. Join us for an unforgettable experience, and discover the elegance and diversity of our highly acclaimed estate wines,...",4.5,"5901 Silverado Trl, Napa, CA 94558-9417",Suggested Duration:< 1 hour,"Hours
Thu - Mon
10:00 AM - 4:00 PM",Positive,Relaxed
Pirates of the Caribbean,4.5,Anaheim,162,Rides & Activities,,4.5,"1313 Disneyland Drive New Orleans Square, Anaheim, CA",,,Positive,Adventurous
Pixar-Pal-A-Round,4.0,Anaheim,65,Rides & Activities,,4.0,"1313 Disneyland Drive Paradise Pier, Anaheim, CA",,,Positive,Adventurous
Point Loma,4.5,San Diego,1919,Historic Walking Areas,A lookout point above San Diego Bay and home of the Cabrillo monument.,4.5,"San Diego, CA",,,Positive,Historic
Pope Beach,4.5,Lake Tahoe,310,Beaches,"Wide sandy beach, popular with families.",4.5,"intersection of Highway 50 and Highway 89, South Lake Tahoe, CA 96150",,,Positive,Relaxed
Porter Family Vineyards,5.0,Napa,71,Wineries & Vineyards,"If you would like to inquire about a visit to the vineyard, please give us a call.",5.0,"1189 Green Valley Rd, Napa, CA 94558-4061",,,Positive,Relaxed
Presidio Museum,4.5,Monterey,34,Military Museums,,4.5,"Corporal Ewing Rd, Bldg. 113, Monterey, CA 93944",,,Positive,Historic
Presidio of San Francisco,4.0,San Francisco,1860,Parks,,4.0,"210 Lincoln Boulevard on the Presidio's Main Post, San Francisco, CA 94129",,,Positive,Relaxed
Quent Cordair Fine Art,5.0,Napa,57,Art Galleries,"Quent Cordair Fine Art was established by artist Quent Cordair in 1996. As a premier provider of contemporary Romantic Realism in painting, sculpture and drawing, QCFA has grown to serve an international clientele of private and corporate...",5.0,"1301 1st St, Napa, CA 94559-2927",,"Hours
Sun
11:00 AM - 4:00 PM
Mon
11:00 AM - 5:00 PM
Wed - Thu
11:00 AM - 5:00 PM
Fri - Sat
11:00 AM - 6:00 PM",Positive,Historic
Radiator Springs Racers,4.0,Anaheim,229,Rides & Activities,,4.0,"1313 Disneyland Drive Cars Land, Anaheim, CA",,,Positive,Adventurous
Rainbow Trail,4.5,Lake Tahoe,16,Hiking Trails,"For an easier hike, this handicapped-accessible paved trail provides signs for a self-guided tour.",4.5,"South Lake Tahoe, CA",,,Positive,Adventurous
Rattlesnake Canyon Trail,4.5,Santa Barbara,31,Hiking Trails,"A popular, moderate rated, multi-use trail, good for hiking, biking and horseback riding, three and a half miles round trip.",4.5,"Las Canoas Not A Biking Trail - No Bikes Allowed, Santa Barbara, CA",,,Positive,Adventurous
Reagan Ranch Center,4.5,Santa Barbara,261,Specialty Museums,"* THE REAGAN RANCH CENTER GALLERIES WILL BE CLOSED FROM MARCH 16TH - 20TH, out of concern for the health and safety of our guests, staff, and the wider community.* The Reagan Ranch Center in downtown Santa Barbara, California is open to the...",4.5,"217 State St, Santa Barbara, CA 93101-3833",,"Hours
Mon - Thu
11:00 AM - 4:00 PM",Positive,Historic
Redwood Creek Challenge Trail,4.5,Anaheim,137,Playgrounds,,4.5,"1313 Disneyland Drive Grizzly Peak, Anaheim, CA",,,Positive,Adventurous
Regusci Winery,4.5,Napa,182,Wineries & Vineyards,,4.5,"5584 Silverado Trl, Napa, CA 94558-9411",,,Positive,Relaxed
Revolver Gallery - Your Andy Warhol Specialists (By Appointment Only),5.0,Santa Monica,7,Art Galleries,"REVOLVER Gallery is a Los Angeles-based art gallery with a one-artist program focusing on the life and work of the pioneer of pop art, Andy Warhol. With over 200 original prints and paintings in its collection. Revolver Gallery has the largest...",5.0,"2525 Michigan Ave 8130 W 3rd St. West Hollywood 90048, Santa Monica, CA 90404-4014",Suggested Duration:< 1 hour,"Hours
Mon - Fri
10:00 AM - 6:00 PM
Sat
12:00 PM - 4:00 PM",Positive,Historic
Riverfront Promenade,4.5,Napa,35,"Points of Interest & Landmarks, Scenic Walking Areas",,4.5,"Main, Napa, CA 94559",,,Positive,Relaxed
Robert Biale Vineyards,5.0,Napa,168,Wineries & Vineyards,“We have been on a quest to realize the full potential of California’s historic vineyards - and to create greater understanding about the joyful pleasures and true character of Zinfandel and Petite Sirah. Honoring the wisdom and labors of our...,5.0,"4038 Big Ranch Rd, Napa, CA 94558-1405",Suggested Duration:< 1 hour,"Hours
Sun - Sat
10:00 AM - 3:00 PM",Positive,Relaxed
Robert Sinskey Vineyards,4.5,Napa,267,Wineries & Vineyards,,4.5,"6320 Silverado Trl, Napa, CA 94558-9747",,,Positive,Relaxed
Robolights,4.5,Palm Springs,92,Specialty Museums,,4.5,"1077 E Granvia Valmonte Movie Colony district near the Sinatra Twin Palms estate, Palm Springs, Greater Palm Springs, CA 92262-6104",,,Positive,Historic
Rosamund Felsen Gallery,5.0,Santa Monica,3,Art Galleries,,5.0,"2525 Michigan Ave, Santa Monica, CA 90404-4014",,,Positive,Historic
Route 66 End of the Trail Sign,5.0,Santa Monica,10,Points of Interest & Landmarks,,5.0,"330 Santa Monica Pier, Santa Monica, CA 90401-3128",,,Positive,Historic
Rubicon Peak,4.0,Lake Tahoe,4,Hiking Trails,,4.0,"Highway 89 Emerald Bay, South Lake Tahoe, CA",,,Positive,Adventurous
Rubicon Trail,4.5,Lake Tahoe,108,Hiking Trails,,4.5,"D.L. Bliss and Emerald Bay State Parks, South Lake Tahoe, CA 96150",,,Positive,Adventurous
Ruddy's General Store Museum,4.5,Palm Springs,148,Specialty Museums,"A re-creation of a general store during the 1930s and early 1940s, this unique museum displays the original fixtures, hardware, medicines and products of that period.",4.5,"221 S Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92262-6310",,,Positive,Historic
Runyon Canyon Park,4.5,Los Angeles,1219,Canyons,"Located off Mulholland Drive in the Hollywood Hills, this park is especially loved by dog-lovers since they can hike with their dogs without a leash.",4.5,"2000 N Fuller Ave Hollywood, Los Angeles, CA 90046-2308",,,Positive,Relaxed
Ruth Hardy Park,4.5,Palm Springs,160,Parks,City park that offers public tennis courts and free classes to visitors.,4.5,"700 Tamarisk St. at Avenue of Caballeros, Palm Springs, Greater Palm Springs, CA",,,Positive,Relaxed
Salk Institute,4.5,San Diego,231,"Points of Interest & Landmarks, Architectural Buildings",,4.5,"10010 N Torrey Pines Rd, La Jolla, San Diego, CA 92037-1099",,,Positive,Historic
San Antonio Winery,4.5,Los Angeles,175,Wineries & Vineyards,This wine shop in the heart of Los Angeles has been established as a Cultural Historical Landmark.,4.5,"737 Lamar St Plaza San Antonio, Los Angeles, CA 90031-2514",,,Positive,Relaxed
San Carlos Beach,4.5,Monterey,12,Beaches,,4.5,"Monterey, CA 93940",,,Positive,Relaxed
San Carlos Cathedral,4.5,Monterey,88,"Points of Interest & Landmarks, Churches & Cathedrals",,4.5,"500 Church St, Monterey, CA 93940-3209",,,Positive,Historic
San Diego California Temple - The Church of Jesus Christ of Latter-day Saints,4.5,San Diego,311,Sacred & Religious Sites,,4.5,"7474 Charmant Dr, San Diego, CA 92122-5000",,,Positive,Relaxed
San Diego Factory Outlet Center,4.0,San Diego,118,Shopping Malls,Bargains can be found north of the border at the 30 shops of this outlet mall.,4.0,"Camino de la Plaza at Highway I-5, San Diego, CA",,,Positive,Activities
San Diego Zoo,4.5,San Diego,27781,Zoos,"The world famous San Diego Zoo is a non-profit wildlife sanctuary home to more than 3,500 rare and endangered animals representing more than 650 species and subspecies, and a prominent botanical collection with more than 700,000 exotic plants. It...",4.5,"2929 Zoo Drive Balboa Park, San Diego, CA 92101",,,Positive,Relaxed
San Francisco Bay,4.5,San Francisco,7324,Bodies of Water,"Offers hiking and biking along its shores, paddling and sailing on top of its surface, and bird-watching and exploring among its wetlands.",4.5,"San Francisco, CA",,,Positive,Relaxed
